date,rental
2021-01-01,22383.988296391846
2021-01-02,21293.495526626048
2021-01-03,19321.66440486635
2021-01-04,31450.2464903595
2021-01-05,25734.781497333355
2021-01-06,23311.120126421447
2021-01-07,19523.738971974843
2021-01-08,23961.981722190314
2021-01-09,18211.29415077415
2021-01-10,20343.396529513404
2021-01-11,22949.625787152036
2021-01-12,33000.33095061556
2021-01-13,38998.09569500908
2021-01-14,39212.69672150523
2021-01-15,41666.01124860635
2021-01-16,20358.392823202797
2021-01-17,21649.410232964787
2021-01-18,27402.70040214699
2021-01-19,24108.736844140443
2021-01-20,36799.39821698251
2021-01-21,29653.71426959143
2021-01-22,30183.41478061446
2021-01-23,39966.81207672616
2021-01-24,38071.42924009591
2021-01-25,53282.80458637752
2021-01-26,24194.118889184
2021-01-27,40587.4178472257
2021-01-28,22424.8237411085
2021-01-29,23294.62742139476
2021-01-30,25183.412086376367
2021-01-31,29123.90282470711
2021-02-01,35764.6112335733
2021-02-02,27954.712416293936
2021-02-03,33358.70798369193
2021-02-04,28114.02954932662
2021-02-05,33393.238870870606
2021-02-06,30974.690354906048
2021-02-07,27850.734330292682
2021-02-08,29277.731283332294
2021-02-09,32896.536030698175
2021-02-10,27489.826581824775
2021-02-11,46288.74170260392
2021-02-12,50342.826876360225
2021-02-13,60179.08269256574
2021-02-14,43580.6179107927
2021-02-15,23515.904863348253
2021-02-16,20968.322355423556
2021-02-17,22790.8976231441
2021-02-18,24229.771885758604
2021-02-19,37147.234167317845
2021-02-20,51046.20169997449
2021-02-21,73277.54022481479
2021-02-22,47408.785364195995
2021-02-23,37277.88529140075
2021-02-24,46143.687645714526
2021-02-25,38927.92644910026
2021-02-26,68970.28849521127
2021-02-27,70465.70660302464
2021-02-28,45898.98036281562
2021-03-01,9749.174815796703
2021-03-02,47064.893824921084
2021-03-03,59089.837165266326
2021-03-04,54260.52064143825
2021-03-05,58546.50308814897
2021-03-06,45020.379811878585
2021-03-07,63990.015488211306
2021-03-08,72620.8531272578
2021-03-09,66541.59434625588
2021-03-10,59573.564868971196
2021-03-11,71993.93661563857
2021-03-12,49657.08609946554
2021-03-13,57629.9602539803
2021-03-14,63119.63777479372
2021-03-15,56934.40323703033
2021-03-16,65818.21391231178
2021-03-17,81959.31563609783
2021-03-18,86386.32966349988
2021-03-19,103415.78517046678
2021-03-20,39639.90726574453
2021-03-21,39871.24894511047
2021-03-22,74115.47800642917
2021-03-23,72254.22420970438
2021-03-24,70444.02561552449
2021-03-25,83669.62635974583
2021-03-26,95649.41754874207
2021-03-27,45498.634130923325
2021-03-28,22447.94254718157
2021-03-29,62507.617221411885
2021-03-30,93216.22393263318
2021-03-31,118029.7587903447
2021-04-01,111749.26022406932
2021-04-02,101689.82838579269
2021-04-03,38347.18037103609
2021-04-04,84761.09986191308
2021-04-05,107456.43385580016
2021-04-06,109631.60827237803
2021-04-07,108605.15111740469
2021-04-08,104941.56851038134
2021-04-09,114936.86909881125
2021-04-10,108469.24915944006
2021-04-11,116551.02983392766
2021-04-12,48499.74641235869
2021-04-13,61022.78450774316
2021-04-14,91015.50446476875
2021-04-15,102730.95271499797
2021-04-16,68920.36782031124
2021-04-17,55806.601004954915
2021-04-18,81639.6280918801
2021-04-19,107293.93261526493
2021-04-20,114991.14067209004
2021-04-21,114572.76560778214
2021-04-22,101090.87048672435
2021-04-23,91721.19658189603
2021-04-24,101722.18207384467
2021-04-25,115355.10224601807
2021-04-26,107191.2745764234
2021-04-27,92984.49126388603
2021-04-28,100740.09949792006
2021-04-29,105871.33993290718
2021-04-30,34095.024794181336
2021-05-01,51774.51219183994
2021-05-02,109941.7471828701
2021-05-03,117514.50203063729
2021-05-04,31191.456852094085
2021-05-05,107046.33527961791
2021-05-06,120886.50556927279
2021-05-07,93881.60251914979
2021-05-08,119340.05726037563
2021-05-09,120264.89539031828
2021-05-10,75340.24810491382
2021-05-11,121550.62021087427
2021-05-12,129132.65841801927
2021-05-13,122457.41092766856
2021-05-14,130291.50348220923
2021-05-15,84326.71217998707
2021-05-16,9672.78310841353
2021-05-17,51178.904331693084
2021-05-18,119892.94922163726
2021-05-19,123353.1281687353
2021-05-20,86462.04712286123
2021-05-21,77826.13609840974
2021-05-22,122813.53854763093
2021-05-23,124707.13626378146
2021-05-24,127726.49456947386
2021-05-25,103610.83306215212
2021-05-26,118798.60269517908
2021-05-27,73591.27802004863
2021-05-28,85166.29301480799
2021-05-29,112582.43774191893
2021-05-30,127143.75967789296
2021-05-31,113224.88188339626
2021-06-01,110754.53557264712
2021-06-02,134302.5484438264
2021-06-03,51184.31650407364
2021-06-04,125410.70455914554
2021-06-05,122196.02673623929
2021-06-06,134549.3108129797
2021-06-07,132255.03990644656
2021-06-08,123090.2518532252
2021-06-09,132280.65208177594
2021-06-10,121912.28456868257
2021-06-11,84878.40194321123
2021-06-12,127746.80174320734
2021-06-13,122801.02950434889
2021-06-14,135191.54007663092
2021-06-15,121232.85868496518
2021-06-16,139691.27974184408
2021-06-17,130096.43560986132
2021-06-18,50136.59224578801
2021-06-19,139060.5067707794
2021-06-20,135466.77587855762
2021-06-21,143208.44873751974
2021-06-22,136309.63276866032
2021-06-23,123353.25361230566
2021-06-24,137877.66803727704
2021-06-25,135539.7540322548
2021-06-26,115915.107242627
2021-06-27,118409.43782685789
2021-06-28,129858.65503466353
2021-06-29,120350.41455609658
2021-06-30,137455.42884779378
2021-07-01,138465.34105661724
2021-07-02,141135.49971585217
2021-07-03,88100.4561011496
2021-07-04,10084.86645195975
2021-07-05,97901.34024643758
2021-07-06,137643.78885690428
2021-07-07,104086.6259654197
2021-07-08,116769.77253331334
2021-07-09,119221.53895668586
2021-07-10,103208.48924334737
2021-07-11,92368.65847627814
2021-07-12,123631.95526756578
2021-07-13,116415.85205303734
2021-07-14,124219.34003814621
2021-07-15,125150.60475868593
2021-07-16,112669.74367233072
2021-07-17,126088.19802369413
2021-07-18,94541.4329394702
2021-07-19,96968.16973353492
2021-07-20,133621.41429307597
2021-07-21,114543.18270969599
2021-07-22,112508.7516949565
2021-07-23,113553.24398324016
2021-07-24,94428.40697539487
2021-07-25,93997.44477334537
2021-07-26,107298.24876780986
2021-07-27,115781.30616909245
2021-07-28,121176.10398376045
2021-07-29,113688.96761379464
2021-07-30,117358.45970408124
2021-07-31,90652.85972853475
2021-08-01,52420.489808769926
2021-08-02,83513.3335052402
2021-08-03,108710.06195793656
2021-08-04,125855.14623040275
2021-08-05,124252.76690668456
2021-08-06,73399.10047392185
2021-08-07,123525.0228471897
2021-08-08,109714.55919230524
2021-08-09,142876.09400406133
2021-08-10,139004.9948225459
2021-08-11,125729.97609103948
2021-08-12,126708.9638252198
2021-08-13,143463.14901334167
