precipitation,temp_mean,temp_highest,temp_lowest,PM10,PM2.5,humidity,sunshine_sum,sunshine_rate,wind_mean,wind_max,rental,days_of_week,year,month,day,temp_diff,sweat,cold,precipitation * precipitation,precipitation * temp_mean,precipitation * temp_highest,precipitation * temp_lowest,precipitation * PM10,precipitation * PM2.5,precipitation * humidity,precipitation * sunshine_sum,precipitation * sunshine_rate,precipitation * wind_mean,precipitation * wind_max,precipitation * rental,precipitation * days_of_week
0.0,-1.3,3.8,-5.1,34.0,17.0,39.1,8.3,86.5,1.4,3.8,4950,0,2018,01,01,8.899999999999999,148.58,-7.139999999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.8,1.8,-4.3,36.0,22.0,42.0,7.9,82.3,1.8,4.9,7136,0,2018,01,02,6.1,75.60000000000001,-7.74,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-4.7,-0.4,-7.1,31.0,19.0,42.3,8.6,88.7,2.2,3.5,7156,0,2018,01,03,6.699999999999999,-16.919999999999998,-15.620000000000001,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34462034878139924,-4.7,-0.7,-8.7,39.0,24.0,43.0,6.2,63.9,1.4,3.5,7102,0,2018,01,04,7.999999999999999,-30.099999999999998,-12.179999999999998,0.11876318479421326,-1.6197156392725764,-0.24123424414697944,-2.998197034398173,13.44019360247457,8.270888370753582,14.818674997600167,2.1366461624446753,22.021240287131413,0.4824684882939589,1.2061712207348974,2447.4937170454973,0.0
0.0,-3.0,1.6,-5.6,51.0,35.0,48.4,8.2,84.5,1.7,3.6,7705,0,2018,01,05,7.199999999999999,77.44,-9.52,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.8,2.9,-6.8,38.0,27.0,45.8,8.8,90.7,1.5,3.1,5681,1,2018,01,06,9.7,132.82,-10.2,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.090848881573964,-0.8,2.8,-5.7,47.0,36.0,42.1,3.1,32.0,0.8,2.5,5220,1,2018,01,07,8.5,117.88,-4.5600000000000005,50.28013786131874,-5.672679105259172,19.854376868407098,-40.4178386249716,333.2698974339763,255.2705597366627,298.5247379142639,21.98163153287929,226.90716421036686,5.672679105259172,17.72712220393491,37014.2311618161,7.090848881573964
0.9,1.3,4.0,-1.2,49.0,37.0,51.9,0.5,5.2,1.8,7.1,6309,0,2018,01,08,5.2,207.6,-2.16,0.81,1.1700000000000002,3.6,-1.08,44.1,33.300000000000004,46.71,0.45,4.680000000000001,1.62,6.39,5678.1,0.0
0.5,-4.2,-1.2,-6.1,37.0,19.0,59.4,8.4,86.6,2.9,6.1,5988,0,2018,01,09,4.8999999999999995,-71.28,-17.689999999999998,0.25,-2.1,-0.6,-3.05,18.5,9.5,29.7,4.2,43.3,1.45,3.05,2994.0,0.0
0.3,-7.5,-4.8,-10.3,27.0,13.0,52.0,8.8,89.8,3.0,6.1,4476,0,2018,01,10,5.500000000000001,-249.6,-30.900000000000002,0.09,-2.25,-1.44,-3.0900000000000003,8.1,3.9,15.6,2.64,26.939999999999998,0.8999999999999999,1.8299999999999998,1342.8,0.0
0.0,-11.1,-7.4,-13.6,30.0,22.0,49.8,8.7,88.8,2.8,4.9,4337,0,2018,01,11,6.199999999999999,-368.52,-38.08,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.2,-5.4,-15.3,21.0,14.0,35.4,8.8,89.8,1.7,3.6,4401,0,2018,01,12,9.9,-191.16,-26.01,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-4.4,-1.2,-6.6,48.0,37.0,67.3,0.9,9.2,0.8,1.7,3756,1,2018,01,13,5.3999999999999995,-80.75999999999999,-5.28,0.16000000000000003,-1.7600000000000002,-0.48,-2.64,19.200000000000003,14.8,26.92,0.36000000000000004,3.6799999999999997,0.32000000000000006,0.68,1502.4,0.4
1.7495743976550848,0.6,5.4,-4.4,64.0,50.0,64.1,5.6,57.1,1.2,2.8,4675,1,2018,01,14,9.8,346.14,-5.28,3.0610105729301527,1.049744638593051,9.447701747337458,-7.698127349682374,111.97276144992543,87.47871988275423,112.14771888969092,9.797616626868475,99.90069810610535,2.099489277186102,4.8988083134342375,8179.260309037521,1.7495743976550848
0.2,4.7,7.7,1.8,63.0,45.0,63.9,6.5,65.7,1.4,3.3,6993,0,2018,01,15,5.9,492.03,2.52,0.04000000000000001,0.9400000000000001,1.54,0.36000000000000004,12.600000000000001,9.0,12.780000000000001,1.3,13.14,0.27999999999999997,0.66,1398.6000000000001,0.0
0.0,3.5,6.8,0.1,97.0,74.0,59.1,0.5,5.1,0.7,2.2,7421,0,2018,01,16,6.7,401.88,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.548848420798345,4.5,8.7,2.4,99.0,78.0,64.1,4.8,48.5,1.2,3.7,6990,0,2018,01,17,6.299999999999999,557.67,2.88,12.594325113802908,15.969817893592552,30.8749812609456,8.517236209916028,351.33599365903615,276.81017682227093,227.4811837731739,17.034472419832056,172.11914840871972,4.258618104958014,13.130739156953878,24806.45046138043,0.0
0.0,2.1,4.5,0.3,80.0,56.0,59.6,0.18831290943413048,0.0,1.9,3.8,7054,0,2018,01,18,4.2,268.2,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,5.5,-2.5,51.0,28.0,43.0,8.7,87.9,1.6,3.7,8329,0,2018,01,19,8.0,236.5,-4.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5630484851244173,2.2,6.9,-1.0,86.0,56.0,57.6,5.3,53.0,1.6,3.6,6148,1,2018,01,20,7.9,397.44000000000005,-1.6,6.56921753709857,5.638706667273719,17.68503454735848,-2.5630484851244173,220.42216972069988,143.53071516696735,147.63159274316644,13.58415697115941,135.8415697115941,4.100877576199068,9.226974546447902,15757.622086544918,2.5630484851244173
0.0,0.4,5.5,-3.7,52.0,33.0,36.6,8.2,82.0,1.0,3.2,5574,1,2018,01,21,9.2,201.3,-3.7,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.2,4.0,-5.3,38.0,21.0,56.5,0.7,7.0,1.5,5.1,4929,0,2018,01,22,9.3,226.0,-7.949999999999999,10.889999999999999,0.66,13.2,-17.49,125.39999999999999,69.3,186.45,2.3099999999999996,23.099999999999998,4.949999999999999,16.83,16265.699999999999,0.0
0.0,-11.7,-5.3,-14.6,21.0,12.0,42.0,9.1,90.1,3.7,5.4,4263,0,2018,01,23,9.3,-222.6,-54.02,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-14.2,-10.7,-16.3,26.0,10.0,31.6,8.9,88.1,3.4,7.2,3370,0,2018,01,24,5.600000000000001,-338.12,-55.42,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-14.0,-9.5,-16.4,22.0,12.0,32.6,8.3,82.2,2.8,4.8,3307,0,2018,01,25,6.899999999999999,-309.7,-45.919999999999995,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.750398742364299,-14.8,-10.7,-17.8,28.0,18.0,34.9,0.18831290943413048,0.0,2.6,4.6,3116,0,2018,01,26,7.100000000000001,-373.42999999999995,-46.28,189.07346557401368,-203.50590138699164,-147.12926654329797,-244.75709761408453,385.01116478620037,247.50717736255737,479.888916108514,2.5893775930540297,0.0,35.75103673014718,63.25183421487577,42846.242481207155,0.0
0.0,-9.9,-3.5,-15.9,37.0,26.0,37.4,9.0,88.2,1.4,3.4,2833,1,2018,01,27,12.4,-130.9,-22.259999999999998,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-6.3,-1.2,-9.3,26.0,17.0,36.0,7.6,74.5,2.6,5.6,3028,1,2018,01,28,8.100000000000001,-43.199999999999996,-24.180000000000003,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
